,nama,alamat,location,latitude,longitude
76,Pos Kamal,"Gg.H.Amat Kamp Belakang RT09/03, Kamal, Kalideres, Jakarta Barat","Jalan Kp Belakang 3, Kalideres, DKI Jakarta, 11810",-6.103506988520675,106.69649484841733
77,Pos Tanah Kusir,"Jl. Ciputat Raya Kebayoran Lama, Kebayoran Lama Utara, Kebayoran Lama, Jakarta Selatan",Kantorpos Jakarta Selatan Kebayoran Lama,-6.249069999999961,106.77801000000005
78,Pos Grogol Utara,"Jl. Kebayoran Lama, Grogol Utara, Kebayoran Lama, Jakarta Selatan","Jalan Kebayoran Lama, Kebayoran Lama, DKI Jakarta, 12210",-6.213427093983778,106.78074926339
79,Pos Cipulir,"Jl. Ciledug Raya, Cipulir, Kebayoran Lama, Jakarta Selatan","Jalan Ciledug Raya, Kebayoran Lama, DKI Jakarta, 12230",-6.239159964602045,106.7759200869016
80,Pos Gandaria City,"Jl.Sutan Iskandar Muda, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan","Jalan Sultan Iskandar Muda, Kebayoran Lama, DKI Jakarta, 12240",-6.255897091579113,106.78176009412005
81,Pos Kebayoran Baru,"Jl. Radio II Kebayoran Baru, Kramat Pela, Kebayoran Baru, Jakarta Selatan","Jalan Radio 2, Kebayoran Baru, DKI Jakarta, 12130",-6.248780535445434,106.79280703618033
82,Pos Walikota JakSel,"Jl. Prapanca Raya No. 9, Petogogan, Kebayoran Baru, Jakarta Selatan","Jalan Prapanca Raya 9, Kebayoran Baru, DKI Jakarta, 12160",-6.25581000757208,106.80776000339898
83,Pos Selong,"Jl. Trunojoyo No. 3 (Milik Mabes), Selong, Kebayoran Baru, Jakarta Selatan","Jalan Trunojoyo 3, Kebayoran Baru, DKI Jakarta, 12110",-6.239790011308983,106.80129001233786
84,Pos Mampang P.,"Jl. Kapten Tendean, Kuningan Barat, Mampang Prapatan, Jakarta Selatan","Jalan Kapten Tendean, Mampang Prapatan, DKI Jakarta, 12710",-6.240519949347018,106.82070963151158
85,Pos Kemang,"Jl.Antasari , Bangka, Mampang Prapatan, Jakarta Selatan","Bangka, Mampang Prapatan, DKI Jakarta",-6.263769999999965,106.81609000000009
86,Pos Pesanggrahan,"Jl. Pesanggrahan Indah, Pesanggrahan, Pesanggrahan, Jakarta Selatan","Jalan Pesanggrahan, Pesanggrahan, DKI Jakarta, 12320",-6.250014969264164,106.75331509986583
87,Pos Cipete,"Jl. Melati Raya Cipete Selatan, Cipete Selatan, Cilandak, Jakarta Selatan","Cipete Selatan, Cilandak, DKI Jakarta",-6.272099999999966,106.80307000000005
88,Pos Siloam RA Kartini,"Jl. RA Kartini , Lebak Bulus, Cilandak, Jakarta Selatan","Lebak Bulus, Cilandak, DKI Jakarta",-6.300049999999942,106.77933000000007
89,Pos Lebak Bulus,"Jl. Puskesmas (Rumah dinas Lurah lebak bulus), Lebak Bulus, Cilandak, Jakarta Selatan","Lebak Bulus, Cilandak, DKI Jakarta",-6.300049999999942,106.77933000000007
90,Pos Tebet,"Jl. Prof. DR. Supomo, S.H., Tebet Barat, Tebet, Jakarta Selatan","Tebet Barat, Tebet, DKI Jakarta",-6.241309999999942,106.84742000000006
91,Pos Casablanca,"Jl. Casablanka Raya (Milik Ambasador), Menteng Dalam, Tebet, Jakarta Selatan","Menteng Dalam, Tebet, DKI Jakarta",-6.239969999999971,106.84059000000008
92,Pos Karet Semanggi,"Jl. Garnisun Dalam Kav. 2-3 (Milik Siloam), Karet Semanggi, Setia Budi, Jakarta Selatan","Jalan Garnisun 2, Setiabudi, DKI Jakarta, 12930",-6.218930010785783,106.81720003803133
93,Pos Casablanca,"Jl. Casablanka Raya (Milik Ambasador), Menteng Atas, Setia Budi, Jakarta Selatan","Menteng Atas, Setiabudi, DKI Jakarta",-6.217059999999947,106.84039000000007
94,Pos Kalibata,"Komp. MPR Kalibata (milik Sekneg), Rawajati, Pancoran, Jakarta Selatan","Rawajati, Pancoran, DKI Jakarta",-6.257199999999955,106.85443000000004
95,Pos Pejaten Barat,"Jl. Raya Pejaten Barat No.3 Rt.01 Rw.07, Pejaten Barat, Pasar Minggu, Jakarta Selatan","Jalan Pejaten Raya 3, Pasar Minggu, DKI Jakarta, 12510",-6.279770013075222,106.83451998365786
96,Pos Pasar Minggu,"Jl. Tanjung Barat Raya Rt.09 Rw.7, Pasar Minggu, Pasar Minggu, Jakarta Selatan","Jalan Tanjung Barat 9, Pasar Minggu, DKI Jakarta, 12510",-6.295331176444401,106.84106163921454
97,Pos Pejaten Timur,"Jl. Swadaya I Rt.7 Rw.10 (Rumah Dinas Lurah Pejaten Timjur), Pejaten Timur, Pasar Minggu, Jakarta Selatan","Jalan Swadaya I 7, Pasar Minggu, DKI Jakarta, 12510",-6.288750006951744,106.84741998410198
