,tanggal,jenis_kejadian_bencana,alamat,location,latitude,longitude
6792,2020-06-27,Kebakaran," jL.Pedongkelan Pejuangan , Semper Timur, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Pedongkelan, Cilincing, DKI Jakarta, 14130",-6.109882815424914,106.93497773140597
6796,2020-06-27,Kebakaran," Jl. Jembatan Besi 2 ( tiitk kenal Masjid Nurul Bayan ),, Jembatan Besi, Tambora,  Kota Administrasi Jakarta Barat","Jalan Jembatan Besi 2, Tambora, DKI Jakarta, 11290",-6.1508813167728755,106.7977354037488
6797,2020-06-27,Kebakaran,"Jl. Kp. Jawa Malang RT.15 RT.07 No. 9b, Keagungan, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Kp Jawa Malang 15, Tamansari, DKI Jakarta, 11130",-6.152720016498449,106.81183000412392
6798,2020-06-27,Kebakaran,"Jl. Muara Baru Raya  Gg Masjid , Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Muara Baru, Penjaringan, DKI Jakarta, 14440",-6.111678278065325,106.80251256059849
6801,2020-06-28,Kebakaran,"Jl. Sunter Agung Utara Blok m.37, Sunter Agung, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Sunter Agung Utara 37, Tanjung Priok, DKI Jakarta, 14330",-6.137353864439341,106.86338998677702
6802,2020-06-28,Kebakaran,"Jl. Tanah Pasir No. 45B, Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Tanah Pasir 45B, Penjaringan, DKI Jakarta, 14440",-6.1297800047927495,106.80451997872655
6804,2020-06-28,Kebakaran,"Jl. H. Kelik, Srengseng, Kembangan,  Kota Administrasi Jakarta Barat","Jalan H Kelik, Kembangan, DKI Jakarta, 11630",-6.207373379616204,106.76401740111116
6805,2020-06-28,Kebakaran,"Komplek Intercor, Srengseng, Kembangan,  Kota Administrasi Jakarta Barat","Komplek Ruko Intercon Plaza, Kembangan, DKI Jakarta, 11630",-6.198732629109488,106.74669071920421
6806,2020-06-28,Kebakaran,"Jl. Kunir , Pinangsia, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Kunir, Tamansari, DKI Jakarta, 11110",-6.133421799105032,106.81352743869537
6807,2020-06-28,Kebakaran,"Jl. Assirot III Gg. O No.32, Sukabumi Selatan, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Assirot, Kebon Jeruk, DKI Jakarta, 11560",-6.225650050964378,106.77467223105074
6809,2020-06-28,Kebakaran,"Jl. Mawar III No.8C, Bintaro, Pesanggrahan,  Kota Administrasi Jakarta Selatan","Jalan Mawar 3 8C, Pesanggrahan, DKI Jakarta, 12330",-6.2836308987502365,106.76458796361369
6810,2020-06-28,Kebakaran,"Jl. Cipete Raya No.35, Cipete Selatan, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan Cipete Raya 35, Cilandak, DKI Jakarta, 12410",-6.277960396686091,106.80435663807233
6811,2020-06-28,Kebakaran,"Jl. Srengseng Sawah Raya, Srengseng Sawah, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jalan Srengseng Sawah Raya, Jagakarsa, DKI Jakarta, 12640",-6.354054965243705,106.81387506277017
6812,2020-06-28,Kebakaran,"Jl. Langgar No.58, tanjung Barat, Jagakarsa,  Kota Administrasi Jakarta Selatan","Gang Langgar 58, Jagakarsa, DKI Jakarta, 12650",-6.306154133971976,106.84460452308994
6813,2020-06-28,Kebakaran,"jl. Puskesmas, Kebon Pala, Makasar,  Kota Administrasi Jakarta Timur","Jalan Puskesmas, Makasar, DKI Jakarta, 13650",-6.2615101258628645,106.88203351414114
6815,2020-06-29,Kebakaran,"Jl. Penyelesaian tomang III Blok 125 No.7 Kav. DKI, Meruya Utara, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Penyelesaian Tomang 3 125, Kembangan, DKI Jakarta, 11620",-6.196649990136109,106.72418999798793
6817,2020-06-29,Kebakaran,"Jl. Raya Cakung Cilincing, Km. 3, Cakung Timur, Cakung,  Kota Administrasi Jakarta Timur","Jalan Cakung Cilincing Raya, Cakung, DKI Jakarta, 13910",-6.179988251912327,106.94354393300607
6819,2020-06-29,Kebakaran,"Jl. Raya Penggilingan, Kp. Sumur Bor, Cakung Barat, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Penggilingan, Cakung, DKI Jakarta, 13940",-6.203363075419591,106.93518081137483
6824,2020-06-29,Kebakaran,"Gg. Sawo, Joglo, Kembangan,  Kota Administrasi Jakarta Barat","Joglo, Kembangan, DKI Jakarta",-6.215999999999951,106.73756000000009
6825,2020-06-29,Kebakaran,"Jl. PenyelesaianTomang III Blok 125 No.7, Meruya Utara, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Penyelesaian Tomang 3 125, Kembangan, DKI Jakarta, 11620",-6.196649990136109,106.72418999798793
6833,2020-06-29,Kebakaran,"Jl. Podengkelan Baru, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Pedongkelan Baru, Cengkareng, DKI Jakarta, 11720",-6.138545874304993,106.74444049435647
6842,2020-06-30,Kebakaran,"Jl.Raya Cenek, Pesanggrahan, Pesanggrahan,  Kota Administrasi Jakarta Selatan","Pesanggrahan, DKI Jakarta",-6.257489999999962,106.75963000000007
6845,2020-06-04,Kebakaran,"Jl. . Kayu Besar 10 No.8, Tegal Alur, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Kayu Besar 10, Kalideres, DKI Jakarta, 11820",-6.120559995118796,106.72917999640532
6846,2020-06-07,Kebakaran,"Jln. Brawijaya IV, Pulo, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Brawijaya IV, Kebayoran Baru, DKI Jakarta, 12160",-6.253069963424032,106.80661004819285
6847,2020-06-25,Kebakaran,"Jl. Raya Pasar Jum'at No. 42, Pondok Pinang, Kebayoran Lama,  Kota Administrasi Jakarta Selatan","Jalan Pasar Jumat 42, Kebayoran Lama, DKI Jakarta, 12230",-6.289149991371275,106.7716400356831
6848,2020-06-29,Kebakaran,"Jl. Gembol Raya, Tegal Alur, Kalideres,  Kota Administrasi Jakarta Barat","Tegal Alur, Kalideres, DKI Jakarta",-6.114189999999951,106.71609000000007
7505,2020-03-01,Kebakaran,"Jl. Cempaka Ujung, Tugu Utara, Koja,  Kota Administrasi Jakarta Utara","Jalan Cempaka, Koja, DKI Jakarta, 14210",-6.1146497739717205,106.9153465341148
7533,2020-03-02,Kebakaran,"Jl. H. Radin No. 25, Petukangan Utara, Pesanggrahan,  Kota Administrasi Jakarta Selatan","Petukangan Utara, Pesanggrahan, DKI Jakarta",-6.229089999999928,106.75732000000005
7535,2020-03-02,Kebakaran,"Jl. Warakas VIII Gg. 10 , Warakas, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Warakas 8 10, Tanjung Priok, DKI Jakarta, 14340",-6.11893998278255,106.87729996017987
7539,2020-03-02,Kebakaran,"Sasana Griya Jawa Timur ( TMII ), Ceger, Cipayung,  Kota Administrasi Jakarta Timur","Ceger, Cipayung, DKI Jakarta",-6.306349999999952,106.89048000000008
7543,2020-03-02,Kebakaran,"Jl.Daan Mogot (Depan Terminal Kalideres), Kalideres, Kalideres,  Kota Administrasi Jakarta Barat",Terminal Kalideres,-6.155779999999936,106.70628000000005
7545,2020-03-02,Kebakaran,"Jl. Rawa Sengon Blok B3 No. 45, Kelapa Gading Barat, Kelapa Gading,  Kota Administrasi Jakarta Utara","Jalan Rawa Sengon, Koja, DKI Jakarta, 14230",-6.139017512412927,106.90288934662709
7546,2020-03-02,Kebakaran," Jl.Cacing Arah Priok ( Arah JGC ), Cakung Barat, Cakung,  Kota Administrasi Jakarta Timur","Cakung Barat, Cakung, DKI Jakarta",-6.164919999999938,106.93429000000003
7554,2020-03-02,Kebakaran,"Jl.Ulujami, Ulujami, Pesanggrahan,  Kota Administrasi Jakarta Selatan","Jalan Ulujami, Pesanggrahan, DKI Jakarta, 12320",-6.2529984336736755,106.76350333559408
7559,2020-03-02,Kebakaran,"Jl. Warakas lV Gg. 6, Warakas, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Warakas I 6, Tanjung Priok, DKI Jakarta, 14340",-6.1165431563282535,106.878155822992
7564,2020-03-03,Kebakaran,"Jl. Gelanggang Remaja No..33, makasar, Makasar,  Kota Administrasi Jakarta Timur","Gang Gelanggang Remaja 33, Makasar, DKI Jakarta, 13670",-6.278537415199439,106.87831521233804
7578,2020-03-03,Kebakaran,"Jl. Jawa IX No. 12, Sukapura, Cilincing,  Kota Administrasi Jakarta Utara","Suka Pura, Cilincing, DKI Jakarta",-6.148339999999962,106.92778000000004
7590,2020-03-04,Kebakaran,"Jl. Bambu Ampel Komp. Paminda Rawa Bambu, Pasar minggu, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Bambu Ampel, Pasar Minggu, DKI Jakarta, 12520",-6.292515131616955,106.83859457849438
7601,2020-03-04,Kebakaran,"Jl. Bhineka No. 119 A ( TMII Pintu 2 ), Lubang Buaya, Cipayung,  Kota Administrasi Jakarta Timur","Lubang Buaya, Cipayung, DKI Jakarta",-6.294089999999926,106.90446000000009
7607,2020-03-05,Kebakaran,"Jl. Teluk Gong Raya, Pejagalan, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Teluk Gong Raya, Penjaringan, DKI Jakarta, 14450",-6.138140534536598,106.78621014677714
7611,2020-03-05,Kebakaran,"Jl. Bendungan Hilir (Gedung Graha Dika), Bendungan Hilir, Tanah Abang,  Kota Administrasi Jakarta Pusat","Jalan Bendungan Hilir, Tanah Abang, DKI Jakarta, 10210",-6.211526821495772,106.81229403592295
7612,2020-03-05,Kebakaran,"Jl. Swadaya, Duren Sawit, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Swadaya, Duren Sawit, DKI Jakarta, 13440",-6.240779955983527,106.91813508370802
7623,2020-03-06,Kebakaran,"Jl. Pisangan Baru Tengah, Pisangan Baru, Matraman,  Kota Administrasi Jakarta Timur","Jalan Pisangan Baru Tengah, Matraman, DKI Jakarta, 13110",-6.208879932476323,106.86845981299146
