tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Cikedung Raya ( Pintu Masuk Tol ),Petukangan Selatan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Gorda Samping Alfa Mart,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Sunter Muara ,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-02-07,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Muara Baru,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Blimbing No..23 A,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Tebet Dalam Timur Raya No..8 A,Tebet Timur,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Wjaya Kusuma 2 Gg. 14 No..60,Malaka Sari,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Rawa Binong Blok Lingkar 2 No..33,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Perum Puri Cilangkap Jl. Mabes TNI Pintu Delta V No..27 S,Cilangkap,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Gg. H Naalih,Semanan,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Mangga 1 No..2,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-02-07,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.H.Nasi,Gedong,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-02-07,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Rawa Gelam,Rawa Terate,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kebon Bawang XIV No.11,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-02-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Rawa Malang Kecil,Semper Timur,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-02-08,Penyelamatan,Penyelamatan Transportasi,Petugas Instansi Lain,Jl.Tanjung Utara,Tanjung Duren Selatan,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-08,Penyelamatan,Penyelamatan Transportasi,Petugas Pemadam,"Asrama Damkar,Jl.Yos Sudarso",Tanjung Priok,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-02-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Kebon Jeruk IX No..44,Maphar,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-02-08,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Hibrida,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-02-08,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Instansi Lain,Kampung Sepatan,Rorotan,Cilincing, Kota Administrasi Jakarta Utara,2,0,,
2020-02-08,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Pos Damkar Pantai Indah Kapuk,Kapuk Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-02-08,Bantuan Operasi,Penyedotan genangan Air,Petugas Pemadam,Jl. RM Margono Djoyohadikusumo,Karet Tengsin,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-08,Bantuan Operasi,Penyedotan genangan Air,Petugas Pemadam,Pulau Untung Jawa,Pulau Untung Jawa,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,0,,
2020-02-08,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Telepon,Jl. Gereja Tugu,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-02-08,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Bugis Raya,Kembangan Selatan,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-08,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Swakarya No.85,Meruya Selatan,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-08,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Pesing Poglar No.A8,Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-02-08,Penyelamatan,Penyelamatan Collapse Structure,Petugas Pemadam,Jl. Bangka Barat IV,Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-08,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Binamarga,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-08,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. J Gg. Perintis,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-08,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Olah Raga I No.15A,Cililitan,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-02-08,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,jl. Tugu No.07,Cipayung,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-02-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Tebet Barat Dalam IIIA,Tebet Barat,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-08,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Perjuangan ,Kebon Jeruk,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
